"Antecedent (X)","Consequent (Y)","Support","Confidence","Lift","Leverage","Conviction"
"grupo=A","situacao_atual=Concluído","0.05","0.75","1.33","0.01","1.66"
"grupo=A","situacao_atual=Formado","0.0","0.07","1.3","0.0","1.0"
"grupo=A","situacao_atual=Matriculado","0.01","0.14","1.23","0.0","1.01"
"grupo=A","situacao_atual=Transferido Externo","0.0","0.03","0.13","-0.01","0.8"
"grupo=B","situacao_atual=Concluído","0.44","0.73","1.3","0.1","1.62"
"grupo=B","situacao_atual=Formado","0.04","0.07","1.3","0.01","1.02"
"grupo=B","situacao_atual=Matriculado","0.06","0.09","0.8","-0.01","0.97"
"grupo=B","situacao_atual=Evasão","0.01","0.02","0.67","-0.01","0.99"
"grupo=B","situacao_atual=Transferido Externo","0.04","0.07","0.34","-0.09","0.85"
"grupo=B","situacao_atual=Jubilado","0.0","0.0","0.21","-0.0","0.99"
"grupo=C","situacao_atual=Jubilado","0.0","0.01","1.87","0.0","1.0"
"grupo=C","situacao_atual=Transferido Externo","0.04","0.33","1.52","0.01","1.15"
"grupo=C","situacao_atual=Matriculado","0.02","0.16","1.33","0.01","1.04"
"grupo=C","situacao_atual=Evasão","0.01","0.04","1.12","0.0","1.0"
"grupo=C","situacao_atual=Concluído","0.06","0.42","0.75","-0.02","0.75"
"grupo=C","situacao_atual=Formado","0.01","0.04","0.7","-0.0","0.98"
"grupo=D","situacao_atual=Cancelado","0.0","0.01","3.81","0.0","1.0"
"grupo=D","situacao_atual=Transferido Externo","0.11","0.61","2.86","0.07","2.01"
"grupo=D","situacao_atual=Jubilado","0.0","0.02","2.86","0.0","1.01"
"grupo=D","situacao_atual=Evasão","0.01","0.06","1.57","0.0","1.02"
"grupo=D","situacao_atual=Matriculado","0.03","0.15","1.27","0.01","1.03"
"grupo=D","situacao_atual=Formado","0.0","0.01","0.27","-0.01","0.95"
"grupo=D","situacao_atual=Concluído","0.02","0.14","0.24","-0.08","0.5"
"grupo=E","situacao_atual=Cancelado","0.0","0.03","11.56","0.0","1.0"
"grupo=E","situacao_atual=Evasão","0.01","0.18","5.2","0.0","1.14"
"grupo=E","situacao_atual=Jubilado","0.0","0.03","4.33","0.0","0.99"
"grupo=E","situacao_atual=Transferido Externo","0.02","0.64","2.96","0.01","1.99"
"grupo=E","situacao_atual=Matriculado","0.0","0.12","1.03","0.0","0.97"
